"Property","Comps","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"Temp._cal","2",50,0.779,0.858,1502.312,38.76,0,1502.312,38.76,2.146,3.548
"Temp._val","",21,0.685,0.738,2097.511,45.799,-15.607,1853.928,43.057,1.701,2.183
"Yield_.w.w._cal","3",45,0.838,0.891,0.002,0.05,0,0.002,0.05,2.509,3.383
"Yield_.w.w._val","",21,0.924,0.906,0.002,0.043,0.003,0.002,0.043,3.497,2.311
"Moisture_105avg_cal","3",62,0.583,0.725,0,0.009,0,0,0.009,1.562,2.49
"Moisture_105avg_val","",26,0.133,0.238,0.001,0.025,-0.006,0.001,0.024,1.06,0.84
"labile_mass_avg_cal","3",46,0.725,0.822,0,0.017,0,0,0.017,1.927,2.125
"labile_mass_avg_val","",22,0.381,0.585,0.001,0.028,-0.003,0.001,0.027,1.196,1.539
"Fixed_Carbon_avg.1_cal","3",60,0.744,0.839,0.012,0.108,0,0.012,0.108,1.992,2.071
"Fixed_Carbon_avg.1_val","",26,0.818,0.856,0.009,0.096,0.005,0.009,0.096,2.358,2.858
"Ash_Free_Mass_avg_cal","3",60,0.798,0.873,0.01,0.102,0,0.01,0.102,2.245,3.938
"Ash_Free_Mass_avg_val","",26,0.868,0.883,0.006,0.079,-0.033,0.005,0.072,2.552,4.12
"Volatiles_avg_cal","3",60,0.808,0.879,0.008,0.091,0,0.008,0.091,2.302,2.467
"Volatiles_avg_val","",26,0.811,0.852,0.01,0.099,-0.016,0.01,0.098,2.294,3.07
"Corg_.w.w._cal","2",37,0.916,0.931,0.004,0.064,0,0.004,0.064,3.508,2.337
"Corg_.w.w._val","",16,0.852,0.862,0.011,0.105,0.011,0.011,0.104,2.454,4.229
"Cinorg_cal","5",37,0.911,0.927,0,0.016,0,0,0.016,3.389,2.144
"Cinorg_val","",16,0.711,0.769,0.001,0.03,0.012,0.001,0.028,1.714,1.511
"N_tot_.w.w._cal","4",49,0.865,0.908,0,0.001,0,0,0.001,2.745,2.584
"N_tot_.w.w._val","",21,0.56,0.707,0,0.001,0,0,0.001,1.336,1.566
"H_tot_.w.w._cal","4",34,0.975,0.959,0,0.002,0,0,0.002,6.481,6.409
"H_tot_.w.w._val","",15,0.9,0.871,0,0.003,0,0,0.003,3.07,2.915
"O_ult_cal","5",34,0.931,0.936,0,0.015,0,0,0.015,3.851,5.664
"O_ult_val","",15,0.32,0.516,0.002,0.049,-0.007,0.002,0.048,0.991,1.311
"Oc_.A_.Si_Fe._cal","4",34,0.91,0.925,0,0.017,0,0,0.017,3.387,4.849
"Oc_.A_.Si_Fe._val","",15,0.462,0.624,0.002,0.039,-0.008,0.001,0.038,1.221,1.518
"Oc_.Al_Si_Fe_Ca._cal","5",34,0.986,0.964,0,0.014,0,0,0.014,8.479,1.374
"Oc_.Al_Si_Fe_Ca._val","",15,0.971,0.92,0,0.021,0,0,0.021,6.025,5.271
"Oc_.Al_Si_Fe_Cinorg._cal","5",34,0.898,0.919,0.004,0.066,0,0.004,0.066,3.185,2.773
"Oc_.Al_Si_Fe_Cinorg._val","",15,0.558,0.68,0.018,0.133,-0.031,0.017,0.129,1.494,1.733
"Oc_.Cinorg._cal","4",34,0.889,0.914,0.005,0.069,0,0.005,0.069,3.049,2.662
"Oc_.Cinorg._val","",15,0.644,0.728,0.014,0.119,-0.034,0.013,0.114,1.654,1.898
"mg_Al2O3_O_per_kg_char_cal","2",54,0.696,0.806,901336.377,949.387,0,901336.377,949.387,1.832,0.904
"mg_Al2O3_O_per_kg_char_val","",23,0.345,0.469,2940890.292,1714.902,-336.174,2827877.461,1681.629,1.238,0.484
"mg_SiO2_O_per_kg_char_cal","4",54,0.482,0.638,18607.435,136.409,0,18607.435,136.409,1.402,1.936
"mg_SiO2_O_per_kg_char_val","",23,0.125,0.315,36922.455,192.152,-30.895,35967.944,189.652,1.007,0.904
"mg_Fe2O3_O_per_kg_char_cal","3",54,0.736,0.832,352303.223,593.551,0,352303.223,593.551,1.965,1.095
"mg_Fe2O3_O_per_kg_char_val","",23,0.735,0.805,118906.422,344.828,93.211,110218.13,331.991,1.911,1.668
"mg.CaCO3.O.kg.char_cal","6",54,0.979,0.971,151803257.84,12320.846,0,151803257.84,12320.846,6.907,1.725
"mg.CaCO3.O.kg.char_val","",23,0.967,0.939,355137863.042,18845.102,-3760.092,340999570.449,18466.174,5.271,3.669
"Corg_to_N_.w.w._cal","19",37,0.999,0.972,81.493,9.027,0,81.493,9.027,27.196,43.807
"Corg_to_N_.w.w._val","",16,0.421,0.571,34415.361,185.514,-9.977,34315.816,185.245,0.945,0.157
"Ctot_to_N_.mol_to_mol._cal","9",50,0.882,0.919,7659.448,87.518,0,7659.448,87.518,2.946,2.234
"Ctot_to_N_.mol_to_mol._val","",21,0.625,0.75,18836.574,137.246,15.977,18581.305,136.313,1.602,0.48
"Htot_to_Ctot_.molar._cal","5",34,0.961,0.952,0.001,0.037,0,0.001,0.037,5.172,6.866
"Htot_to_Ctot_.molar._val","",15,0.592,0.66,0.012,0.109,-0.03,0.011,0.105,1.549,1.823
"Oult_to_Ctot_.molar._cal","10",34,0.99,0.966,0,0.014,0,0,0.014,10.305,9.737
"Oult_to_Ctot_.molar._val","",15,0.883,0.874,0.005,0.07,-0.018,0.005,0.068,2.87,2.878
"Htot_to_Corg_.molar._cal","7",34,0.975,0.958,0.001,0.028,0,0.001,0.028,6.399,8.413
"Htot_to_Corg_.molar._val","",15,0.889,0.878,0.005,0.069,0.001,0.005,0.069,3.108,4.834
"Oult_to_Corg_.molar._cal","2",34,0.964,0.953,0.002,0.046,0,0.002,0.046,5.35,3.177
"Oult_to_Corg_.molar._val","",15,0.94,0.899,0.008,0.09,-0.008,0.008,0.09,4.012,3.162
"Oc_.Al_Si_Fe._to_Corg_.molar._cal","8",34,0.995,0.968,0,0.017,0,0,0.017,13.885,8.524
"Oc_.Al_Si_Fe._to_Corg_.molar._val","",15,0.921,0.892,0.011,0.105,0.021,0.011,0.103,3.349,2.68
