"Property","Comps","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"Al_avg_cal","1",11,0.368,0.489,98917.325,314.511,0,98917.325,314.511,1.319,2.285
"Al_avg_val","",4,0.172,-0.037,96881.732,311.258,109.08,84983.217,291.519,1.051,0.718
"Ba_avg_cal","1",11,0.244,0.357,293.362,17.128,0,293.362,17.128,1.206,2.338
"Ba_avg_val","",4,0.281,0.004,1013.984,31.843,31.452,24.739,4.974,0.192,0.149
"Cd2_avg_cal","1",11,0.672,0.731,0.151,0.389,0,0.151,0.389,1.831,0.641
"Cd2_avg_val","",4,0.346,-0.076,0.135,0.368,-0.213,0.09,0.3,0.872,1.329
"Fe2714_avg_cal","1",11,0.632,0.704,464648.589,681.651,0,464648.589,681.651,1.729,2.049
"Fe2714_avg_val","",4,0.211,0.044,837804.47,915.317,223.706,787759.997,887.558,1.153,0.647
"K4047_avg_cal","3",11,0.824,0.821,12418937.196,3524.051,0,12418937.196,3524.051,2.497,3.305
"K4047_avg_val","",4,0.073,0.07,56493730.211,7516.231,6538.936,13736045.767,3706.217,0.537,0.888
"Se_avg_cal","1",11,0.799,0.807,2.178,1.476,0,2.178,1.476,2.337,2.133
"Se_avg_val","",4,0.071,-0.005,3.867,1.966,-1.638,1.185,1.088,0.632,0.428
"Si_avg_cal","1",11,0.135,0.216,6493.783,80.584,0,6493.783,80.584,1.127,1.896
"Si_avg_val","",4,0.452,0.039,5216.052,72.222,52.659,2443.083,49.428,0.827,0.645
"Sr_avg_cal","5",11,0.999,0.909,4.173,2.043,0,4.173,2.043,35.82,26.815
"Sr_avg_val","",4,0.329,0.348,978.578,31.282,14.929,755.711,27.49,0.766,1.123
"Ti_avg_cal","1",11,0.461,0.574,740.053,27.204,0,740.053,27.204,1.428,2.004
"Ti_avg_val","",4,0.911,0.681,352.16,18.766,6.822,305.62,17.482,2.972,2.511
"V_avg_cal","5",11,0.994,0.906,0.084,0.29,0,0.084,0.29,13.59,15.125
"V_avg_val","",4,0.842,0.666,0.628,0.793,-0.452,0.424,0.651,2.385,1.485
"Y_avg_cal","1",11,0.923,0.873,0.055,0.234,0,0.055,0.234,3.787,3.33
"Y_avg_val","",4,0.664,0.115,0.537,0.733,-0.069,0.532,0.73,1.244,0.682
"Decomposition_36_month_perc_remaining_cal","1",6,0.31,0.394,17.034,4.127,0,17.034,4.127,1.318,1.879
"Decomposition_36_month_perc_remaining_val","",2,1,-0.021,6.545,2.558,2.371,0.921,0.96,0.483,0.342
"X_cal","1",6,0.36,0.442,2.846,1.687,0,2.846,1.687,1.37,1.692
"X_val","",2,1,0.088,0.75,0.866,0.738,0.206,0.454,0.894,0.632
